40 4222 14710
0 58     97.502663 524.026489
1 58     105.203018 516.137451
37 58     93.582565 539.673767
38 58     93.090851 531.683838
39 58     99.205200 547.961731
0 59     82.022789 552.761169
1 59     83.794052 549.476196
36 59     91.796745 590.220520
37 59     74.965790 573.197449
38 59     73.299759 564.807922
39 59     79.861855 584.382385
0 60     237.234985 822.650879
1 60     189.868118 820.076050
2 60     142.339157 816.725403
38 60     286.311829 821.870605
0 61     205.449615 849.475098
2 61     115.963150 820.988220
37 61     293.234711 859.494385
38 61     249.649948 862.032532
0 62     256.130707 906.297302
2 62     148.128159 903.719177
0 63     295.158508 718.309265
37 63     395.045441 714.422485
38 63     347.374390 716.152283
39 63     439.632233 709.868530
0 64     270.288239 803.147034
1 64     217.440277 797.887756
37 64     375.400879 803.242981
38 64     324.245972 804.288818
39 64     423.717468 799.590576
0 65     291.642822 205.830124
38 65     334.406464 207.168777
0 66     218.663605 829.703674
1 66     175.816345 823.900757
0 67     417.130493 894.941162
1 67     372.138062 898.886475
2 67     322.693481 901.993042
38 67     459.032654 886.315002
0 68     297.683777 231.141434
1 68     252.923691 227.369156
2 68     208.160660 222.296112
37 68     390.597168 233.368927
38 68     345.640076 232.469940
39 68     433.545746 232.809067
0 69     510.961975 263.641205
1 69     453.033112 265.690491
38 69     566.060852 258.434967
0 70     246.087296 286.367828
1 70     199.326691 280.333160
0 71     540.187500 333.985413
1 71     482.491974 338.579254
2 71     418.092377 340.571075
3 71     350.641357 339.957642
35 71     683.825073 299.136963
37 71     636.588562 317.420837
38 71     593.603394 326.166626
0 72     410.939789 406.889984
1 72     340.800598 406.748169
2 72     270.623260 400.777802
37 72     540.983948 399.990234
38 72     480.254883 403.314209
0 73     536.890015 411.413452
1 73     473.827423 416.536896
0 74     458.724548 427.366302
1 74     385.864502 428.542114
2 74     309.168793 426.553925
0 75     217.926666 479.861908
35 75     467.531616 479.500763
36 75     423.602936 484.895721
37 75     321.846985 486.996185
39 75     373.877136 487.012085
0 76     575.376770 570.651978
1 76     534.821289 577.580933
2 76     477.340057 576.204895
38 76     619.304321 560.547058
0 77     297.496765 805.359802
1 77     244.674927 802.150879
36 77     491.292633 787.410217
37 77     402.207489 800.877686
38 77     351.305725 804.197205
39 77     449.094360 795.811218
0 78     411.919250 430.662262
1 78     340.264160 429.415588
2 78     266.194794 424.952118
37 78     546.522888 423.149139
38 78     482.985077 427.426392
0 79     127.032883 482.552338
35 79     150.494110 519.360596
36 79     137.365417 511.758942
37 79     123.890236 496.640533
38 79     123.154335 489.480469
39 79     128.506332 504.209808
0 80     98.654160 519.274963
1 80     106.338997 511.607178
37 80     94.483719 534.166260
38 80     93.946754 526.401184
39 80     99.790512 542.200562
0 81     589.921936 617.646423
1 81     552.498535 628.368530
2 81     505.363464 634.825500
0 82     576.728271 622.371765
1 82     538.474731 633.397461
37 82     630.127625 593.969360
38 82     608.253296 608.409485
0 83     276.171265 792.522705
37 83     384.937866 794.202209
38 83     330.766174 793.231201
39 83     431.005493 788.586365
0 84     286.554321 819.849915
1 84     231.742996 816.158142
37 84     394.196167 816.028992
38 84     341.931488 818.174561
0 85     295.628143 875.817566
1 85     251.540634 874.450195
2 85     207.889221 870.613098
38 85     341.897705 876.619446
0 86     454.490662 879.059021
1 86     416.193970 886.128540
2 86     359.198853 878.872742
37 86     516.238525 860.278931
38 86     487.916992 869.911987
0 87     430.966095 882.995422
1 87     384.584137 886.197876
2 87     336.622467 887.744019
37 87     504.689056 864.416199
38 87     470.905548 874.356567
0 88     201.332642 885.325378
38 88     246.651581 889.561523
0 89     446.575562 670.924438
37 89     519.234985 661.029663
0 90     407.206604 174.522858
1 90     378.289520 176.366730
0 91     368.659546 177.179352
37 91     401.838562 181.863663
38 91     402.871460 176.216064
39 91     457.308380 171.046478
0 92     436.062225 245.671616
1 92     378.435364 244.711548
0 93     428.988739 252.667007
1 93     369.345459 251.882416
37 93     541.798462 246.995316
38 93     489.605042 250.830261
0 94     377.887909 271.392456
1 94     313.802643 268.104034
38 94     442.621613 270.426025
0 95     440.385864 335.589447
1 95     374.965424 335.512451
2 95     304.729706 332.851898
37 95     561.596863 326.864777
38 95     505.022125 331.803101
0 96     64.133942 377.977997
38 96     60.474087 386.679077
0 97     106.743187 502.241028
37 97     102.212341 518.346069
38 97     101.847839 510.228180
39 97     107.322807 526.420532
0 98     384.270966 263.919983
38 98     448.399933 263.103302
0 99     541.619812 256.945526
38 99     589.965942 250.200836
0 100     591.520935 593.917236
1 100     551.291504 604.524231
2 100     503.148712 612.078979
38 100     624.888855 579.943115
0 101     552.862793 395.903809
1 101     494.965149 401.912537
2 101     430.113861 405.130829
38 101     605.679565 386.171478
0 102     280.130920 229.108139
38 102     324.570038 231.125565
0 103     583.226990 584.334839
3 103     439.461365 607.987061
38 103     616.758423 570.560730
0 104     304.267670 896.739075
1 104     250.941315 894.788330
2 104     198.149750 890.222412
38 104     356.079163 894.631104
0 105     259.422058 282.276306
38 105     313.481506 283.694275
0 106     400.229340 282.996216
1 106     330.307739 280.916626
2 106     268.329803 275.460327
0 107     350.790131 286.903992
38 107     416.543823 287.527100
0 108     560.742371 418.438782
1 108     501.394012 423.700256
38 108     615.232849 410.202942
0 109     132.336929 471.987976
35 109     150.966675 508.197937
36 109     138.421158 500.032227
37 109     124.810936 484.145599
38 109     125.796127 477.463715
39 109     129.327469 491.937012
0 110     349.057465 504.455353
1 110     275.781647 500.573151
2 110     202.220062 493.821625
3 110     131.388550 484.162628
35 110     653.252258 475.405243
36 110     607.971008 486.732483
37 110     491.302002 500.950409
38 110     423.366241 503.616730
39 110     553.356079 495.394562
0 111     358.240845 510.690521
1 111     284.710541 506.556732
3 111     136.892044 487.567566
35 111     662.037598 480.897339
38 111     434.552460 510.891205
39 111     564.361389 501.558441
0 112     106.199242 511.777100
1 112     112.469902 504.563507
35 112     133.110718 551.502319
36 112     119.106361 543.613098
37 112     103.982727 527.559143
38 112     102.567513 519.537537
39 112     109.501030 535.656311
0 113     358.251282 527.861816
1 113     284.753937 525.135010
2 113     209.818344 518.642212
3 113     137.467636 509.201935
36 113     617.254395 507.747925
37 113     501.161285 522.932251
38 113     433.253540 526.342712
39 113     563.308044 517.029114
0 114     93.361877 530.237000
35 114     116.745758 574.136414
36 114     102.755089 565.373779
37 114     87.910439 548.080933
38 114     87.798843 539.222107
39 114     92.710632 556.686462
0 115     93.170021 540.369690
1 115     99.157410 532.048157
35 115     119.962852 583.809204
36 115     105.601326 575.258728
37 115     90.024979 557.614319
38 115     89.053207 548.996887
39 115     95.444130 566.470459
0 116     562.822754 579.661133
1 116     521.323975 581.001648
2 116     474.065155 588.649109
3 116     421.843140 593.086182
0 117     193.240845 890.107117
3 117     44.641056 449.458618
0 118     130.490280 968.487061
1 118     63.895271 955.725342
35 118     478.794006 974.362427
36 118     415.043152 981.272095
37 118     274.697998 983.047974
38 118     202.385696 977.463135
39 118     345.194733 983.932312
0 119     290.110291 315.987854
1 119     231.317886 310.513336
36 119     517.551086 313.087982
0 120     349.471710 525.439331
3 120     130.279739 505.782135
35 120     653.675903 495.606995
36 120     608.613831 506.885681
37 120     491.643616 521.850830
38 120     423.286621 524.802612
39 120     553.175537 515.582153
0 121     371.607635 549.181519
37 121     501.433838 533.755371
38 121     433.758362 537.555237
0 122     397.003998 564.084045
1 122     337.712158 569.720337
0 123     115.429024 509.154602
35 123     142.868683 548.001099
37 123     113.927391 525.079956
38 123     112.637329 517.183655
39 123     119.764725 533.257507
0 124     288.102783 728.433655
1 124     238.033432 726.355347
2 124     186.519318 720.727234
37 124     387.083862 724.752808
39 124     433.967987 721.045349
0 125     346.171967 902.944214
38 125     398.338409 899.202148
0 126     463.266144 190.519424
1 126     434.462402 195.274200
38 126     489.582672 183.560196
0 127     540.872314 341.330872
1 127     484.087219 344.640167
2 127     418.991608 348.527161
3 127     352.171417 347.294403
0 128     434.527924 342.848816
1 128     368.190155 342.396088
2 128     298.724030 339.853149
3 128     229.106018 334.591583
37 128     559.151428 334.562073
38 128     501.454254 339.665833
39 128     609.834595 327.153503
0 129     448.456482 403.407257
37 129     581.716980 397.004089
0 130     352.134094 898.910217
1 130     300.578003 899.436035
38 130     402.339630 894.549622
0 131     342.751251 509.595520
1 131     270.005219 505.027405
2 131     196.401047 498.348297
37 131     484.738586 506.075012
38 131     416.330750 509.184479
39 131     546.272644 501.537231
0 132     98.001961 384.028198
