40 4222 14710
1 36     3.454187e+02 1.783811e+02
2 36     3.116697e+02 1.775275e+02
1 37     2.615708e+02 2.257518e+02
38 37     3.099679e+02 2.469258e+02
39 37     2.874395e+02 2.305105e+02
1 38     3.223370e+02 2.293125e+02
38 38     4.147853e+02 2.276149e+02
39 38     3.699709e+02 2.274390e+02
1 39     5.142726e+02 6.365895e+02
2 39     4.758153e+02 6.446486e+02
38 39     5.729944e+02 6.150117e+02
39 39     5.483474e+02 6.245255e+02
1 40     3.384703e+02 2.047923e+02
2 40     3.002917e+02 2.076853e+02
39 40     3.755386e+02 2.004444e+02
1 41     3.540528e+02 2.682283e+02
39 41     4.156746e+02 2.678088e+02
1 42     3.364804e+02 2.826527e+02
39 42     4.018326e+02 2.844872e+02
1 43     2.688952e+02 3.026264e+02
38 43     3.801845e+02 3.053220e+02
39 43     3.256156e+02 3.038691e+02
1 44     2.432115e+02 3.081093e+02
2 44     1.969785e+02 3.011338e+02
3 44     1.526792e+02 2.943479e+02
1 45     4.423997e+02 4.184429e+02
2 45     3.713963e+02 4.185958e+02
3 45     2.972005e+02 4.155027e+02
4 45     2.226530e+02 4.102575e+02
38 45     5.729750e+02 4.082697e+02
39 45     5.122599e+02 4.141942e+02
1 46     5.144688e+01 5.155540e+02
2 46     6.411781e+01 5.070482e+02
37 46     6.123527e+01 5.558683e+02
38 46     4.415263e+01 5.364377e+02
39 46     4.463768e+01 5.259537e+02
40 46     4.937193e+01 5.469872e+02
1 47     3.225391e+02 6.709170e+02
2 47     2.782963e+02 6.706949e+02
36 47     4.186435e+02 6.536432e+02
39 47     3.679581e+02 6.675972e+02
1 48     2.972525e+02 7.650596e+02
2 48     2.473902e+02 7.655634e+02
38 48     3.978232e+02 7.602161e+02
39 48     3.490983e+02 7.634740e+02
40 48     4.450136e+02 7.520044e+02
1 49     2.606955e+02 8.204756e+02
2 49     2.119462e+02 8.155431e+02
3 49     1.637934e+02 8.086115e+02
1 50     2.448384e+02 7.878033e+02
39 50     2.876877e+02 7.819804e+02
1 51     4.762686e+02 2.487955e+02
39 51     5.352780e+02 2.486217e+02
1 52     4.445940e+02 1.847665e+02
39 52     4.691531e+02 1.776667e+02
1 53     4.445751e+02 2.640930e+02
2 53     3.829442e+02 2.684856e+02
1 54     4.344531e+02 3.363840e+02
4 54     2.280169e+02 3.277876e+02
1 55     4.228351e+02 4.179485e+02
2 55     3.523470e+02 4.180542e+02
3 55     2.787884e+02 4.145267e+02
38 55     5.537375e+02 4.085266e+02
39 55     4.926862e+02 4.141077e+02
1 56     9.731615e+01 4.847158e+02
39 56     9.264781e+01 4.905034e+02
1 57     1.137510e+02 4.959099e+02
